external_id,course,unit,topic,learning_target,standard,pool,type,stem,stimulus_ref,stimulus_text,stimulus_image_url,stimulus_video_url,option_a,option_b,option_c,option_d,option_e,option_f,correct,tolerance,tolerance_mode,unit,points,difficulty,bloom,grading,explanation,image_url,video_url,tags
ANAT-CIRC-001,Anatomy & Physiology,,Blood,LT1 Blood composition,,LT1 pool,multiple_choice,Plasma makes up approximately what percent of blood volume?,,,,,15,35,55,75,,,c,,,,1,2,remember,auto,Plasma is about 55% of whole blood; formed elements make up the remaining ~45%.,,,"blood,plasma"
ANAT-CIRC-002,Anatomy & Physiology,,Blood,LT1 Blood composition,,LT1 pool,multiple_select,Which of the following are formed elements of blood? Select all that apply.,,,,,Erythrocytes,Plasma,Leukocytes,Platelets,,,"a,c,d",,,,2,3,understand,auto,Formed elements are the cells and cell fragments; plasma is the liquid portion.,,,blood
ANAT-CIRC-003,Anatomy & Physiology,,Blood,LT1 Blood composition,,LT1 pool,true_false,Plasma is mostly water.,,,,,,,,,,,true,,,,1,1,remember,auto,Plasma is roughly 90% water.,,,"blood,plasma"
ANAT-CIRC-004,Anatomy & Physiology,,Blood,LT1 Blood composition,,LT1 pool,fill_blank,Red blood cells are also called ___.,,,,,,,,,,,erythrocytes|erythrocyte,,,,1,1,remember,auto,"Erythro = red, cyte = cell.",,,"blood,terminology"
ANAT-CIRC-005,Anatomy & Physiology,,Heart,LT2 Heart structure,,LT2 pool,short_answer,Explain why the wall of the left ventricle is thicker than the wall of the right ventricle.,,,,,,,,,,,systemic|pressure|whole body,,,,3,4,analyze,manual,"The left ventricle pumps to the entire body (systemic circuit) against higher resistance, so it needs more muscle.",,,heart
ANAT-CIRC-006,Anatomy & Physiology,,Heart,LT2 Heart structure,,LT2 pool,ordering,"Put these in the order blood flows through the right side of the heart, starting from the body.",,,,,Right ventricle,Pulmonary artery,Right atrium,Lungs,,,"c,a,b,d",,,,2,3,understand,auto,Body → right atrium → right ventricle → pulmonary artery → lungs.,,,"heart,blood flow"
ANAT-CIRC-007,Anatomy & Physiology,,Blood,LT1 Blood composition,,LT1 pool,matching,Match each blood component to its main function.,,,,,Erythrocyte :: Carries oxygen,Leukocyte :: Fights infection,Platelet :: Helps blood clot,Plasma :: Transports nutrients and wastes,,,,,,,4,2,understand,auto,,,,blood
PSCI-MOT-001,Physical Science,m/s,Speed,LT3 Speed calculations,,LT3 pool,numeric,A car travels 120 m in 8 s. What is its average speed in m/s?,,,,,,,,,,,15,0.5,abs,m/s,1,2,apply,auto,speed = distance / time = 120 / 8 = 15 m/s,,,"motion,speed"
BIO-CELL-001,Biology,,Organelles,LT5 Organelle function,HS-LS1-2,LT5 pool,multiple_choice,Name the organelle indicated by the arrow.,,,,,Nucleus,Golgi apparatus,Mitochondrion,Vacuole,,,c,,,,1,2,remember,auto,"Mitochondria are the folded, oval organelles that produce ATP.",images/cell_arrow_mito.png,,"cell,organelle"
BIO-SCI-010,Biology,Scientific Method,Graphing,LT6 Interpreting graphs,,LT6 pool,multiple_choice,What is the independent variable?,tomato-graph,"Plant height (mm) was measured on days 4–11 for tomato plants given 1, 3, 6, or 9 hours of sunlight per day.",images/tomato_graph.png,,Height of plant,Amount of sunlight,Color of light,Time,,,b,,,,1,2,understand,auto,The independent variable is what the experimenter changed: hours of sunlight.,,,"graphing,variables"
BIO-SCI-011,Biology,Scientific Method,Graphing,LT6 Interpreting graphs,,LT6 pool,numeric,"On day 7, plants kept in the sun for 3 hours were how tall?",tomato-graph,,,,,,,,,,20,2,abs,mm,1,3,apply,auto,Read the 3-hour line at day 7 on the graph.,,,graphing
PSCI-MOT-002,Physical Science,Motion,Speed,LT3 Speed calculations,,LT3 pool,numeric,A runner covers 400 m in 80 s. What is her average speed?,,,,,,,,,,,5,2,percent,m/s,1,2,apply,auto,speed = 400 / 80 = 5 m/s (answers within 2% accepted),,,"motion,speed"
